SCAT_ID	CCB_ID	JGI_ID
SCAT_0521	embl-cds:CCB73259	2504907174
SCAT_0522	embl-cds:CCB73260	2504907173
SCAT_0523	embl-cds:CCB73261	2504907172
SCAT_0524	embl-cds:CCB73262	2504907171
SCAT_0525	embl-cds:CCB73263	2504907170
SCAT_0526	embl-cds:CCB73264	2504907169
SCAT_0527	embl-cds:CCB73265	2504907168
SCAT_0528	embl-cds:CCB73266	2504907167
SCAT_0529	embl-cds:CCB73267	2504907166
SCAT_0530	embl-cds:CCB73268	2504907165
SCAT_0531	embl-cds:CCB73269	2504907164
SCAT_0532	embl-cds:CCB73270	2504907163
SCAT_0533	embl-cds:CCB73271	2504907162
SCAT_0534	embl-cds:CCB73272	2504907161
SCAT_0535	embl-cds:CCB73273	no IMG ID
SCAT_0536	embl-cds:CCB73274	2504907160
SCAT_0537	embl-cds:CCB73275	no IMG ID
SCAT_0538	embl-cds:CCB73276	no IMG ID
SCAT_0539	embl-cds:CCB73277	2504907159
SCAT_0540	embl-cds:CCB73278	2504907158
SCAT_0541	embl-cds:CCB73279	2504907157
SCAT_0542	embl-cds:CCB73280	2504907156
SCAT_0543	embl-cds:CCB73281	2504907154
SCAT_0544	embl-cds:CCB73282	2504907153
SCAT_0545	embl-cds:CCB73283	2504907152
SCAT_0546	embl-cds:CCB73284	2504907151
SCAT_0547	embl-cds:CCB73285	2504907150
SCAT_0548	embl-cds:CCB73286	2504907149
SCAT_0549	embl-cds:CCB73287	2504907148
SCAT_0550	embl-cds:CCB73288	2504907147
